0.003224	0.008349	0.004684
0.003338	0.007660	0.004002
0.003775	0.006350	0.004000
0.000459	0.003062	0.002575
0.001656	-0.000180	0.003252
0.000668	0.003130	0.003938
-0.000569	0.003445	0.003413
0.000459	0.003062	0.002575
-0.000477	-0.001615	0.000154
0.002023	0.005772	-0.001298
0.003661	0.007039	0.004682
0.001832	0.006428	0.004994
0.001414	0.006292	0.002267
0.003085	0.001019	0.007869
-0.000536	-0.003095	0.003035
0.000628	0.000204	0.004090
0.001260	0.004056	0.003102
0.002651	0.005977	0.002792
0.003911	0.010032	0.005894
0.001623	0.006360	0.003630
0.001300	0.006981	0.002949
0.001866	-0.000112	0.004615
0.000114	-0.000689	-0.000683
