-0.003048	-0.003911	-0.013326
-0.001631	0.003859	-0.026522
-0.004642	0.001395	-0.024538
-0.008726	-0.007257	-0.016484
0.001271	-0.024370	0.033197
-0.011428	-0.057637	-0.033141
-0.028653	-0.021140	-0.050504
-0.000286	-0.026296	-0.004240
0.017665	-0.010135	0.010384
0.002241	-0.010889	-0.008194
-0.010371	-0.017989	-0.022691
0.013596	-0.004197	-0.001878
0.002967	-0.001940	0.013631
-0.009020	0.011541	0.006405
-0.002314	0.012333	-0.001659
-0.001212	0.012675	0.017740
-0.006200	0.016831	0.021096
0.011443	0.024178	0.016622
0.014206	0.001794	0.025708
-0.001763	-0.009350	0.020323
0.000397	-0.030430	-0.008335
0.027413	-0.021408	-0.015731
-0.004047	-0.011545	0.002596
-0.011650	0.007766	-0.004195
