-0.003306	0.011995	0.004106
-0.000455	0.002756	0.002730
-0.003724	0.011859	0.001379
-0.004451	0.007250	0.000322
-0.004716	0.011520	0.007144
-0.002850	0.009239	0.001375
-0.000110	-0.004344	-0.045932
0.034963	-0.017389	-0.049267
0.010525	0.022396	0.032240
0.001256	0.004749	0.028948
-0.009218	0.002732	0.012471
-0.015308	0.010885	0.017196
0.001337	0.010599	0.028644
0.002027	0.013760	0.014391
0.003122	-0.001874	0.002412
0.003144	-0.023697	-0.003497
0.000221	-0.013014	-0.011975
0.004753	-0.014413	-0.012601
-0.008689	-0.005809	-0.001174
-0.007514	-0.011252	0.007311
-0.003202	-0.003977	-0.002108
0.004113	-0.001535	-0.003353
0.000911	-0.005513	-0.005461
-0.001675	-0.000544	-0.010907
-0.008990	-0.002987	-0.009662
-0.000191	-0.001514	-0.004092
